aligned_name,TAXON_ID,taxon_name,COMMON_NAME,TaxaGroup,TAXON_TYPE,taxon_rank,Extinction_Risk,FFG_Status,Sci_Name_Alt
Cercartetus nanus,11150,Cercartetus nanus,Eastern Pygmy-possum,Mammals,Mammals,Species,NotListed,NotListed,Cercartetus nanus
Cercartetus lepidus,11152,Cercartetus lepidus,Little Pygmy-possum,Mammals,Mammals,Species,NotListed,NotListed,Cercartetus lepidus
Litoria aurea,13166,Litoria aurea,Green and Golden Bell Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria aurea
Litoria peronii,13204,Litoria peronii,Peron's Tree Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria peronii
Litoria ewingii,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria ewingii
Litoria verreauxii verreauxii,63906,Litoria verreauxii verreauxii,Verreaux's Tree Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria verreauxii
Litoria lesueuri,13192,Litoria lesueuri,Lesueur's Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria lesueurii
Litoria paraewingi,13203,Litoria paraewingi,Plains Brown Tree Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria paraewingi
Litoria citropa,13175,Litoria citropa,Blue Mountains Tree Frog,Amphibians,Amphibians,Species,NotListed,NotListed,Litoria citropa
Lichenostomus chrysops,10614,Lichenostomus chrysops,Yellow-faced Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Caligavis chrysops
Lichenostomus penicillatus,10625,Lichenostomus penicillatus,White-plumed Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Ptilotula penicillata
Lichenostomus leucotis,10617,Lichenostomus leucotis,White-eared Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Nesoptilotis leucotis
Lichenostomus melanops,10619,Lichenostomus melanops,Yellow-tufted Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Lichenostomus melanops
Lichenostomus virescens,10608,Lichenostomus virescens,Singing Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Gavicalis virescens
Lichenostomus ornatus,10622,Lichenostomus ornatus,Yellow-plumed Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Ptilotula ornata
Lichenostomus fuscus,10613,Lichenostomus fuscus,Fuscous Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Ptilotula fusca
Lichenostomus cratitius,10620,Lichenostomus cratitius,Purple-gaped Honeyeater,Birds,Passerine birds,Species,Victoria,Vulnerable,Lichenostomus cratitius
Acanthiza chrysorrhoa,10486,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza chrysorrhoa
Acanthiza pusilla,10475,Acanthiza pusilla,Brown Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza pusilla
Acanthiza lineata,10470,Acanthiza lineata,Striated Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza lineata
Acanthiza reguloides,10484,Acanthiza reguloides,Buff-rumped Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza reguloides
Acanthiza nana,10471,Acanthiza nana,Yellow Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza nana
Acanthiza uropygialis,10481,Acanthiza uropygialis,Chestnut-rumped Thornbill,Birds,Passerine birds,Species,NotListed,NotListed,Acanthiza uropygialis
