Taxon_ID,Scientific_Name,Scientific_Name_Alt,Genus,Common_Name,Taxa_Group,Conservation_Listing,FFG_Status,Mass_g,home_range_km2,dispersal_km,stratum,stratum_aerial,stratum_arboreal_insessorial,stratum_aquatic,stratum_cryptic,stratum_fossorial,stratum_generalist,stratum_saxicolous,stratum_terrestrial,nesting,nest_burrow,nest_cave,nest_ground,nest_hollows,nest_branch,volant,hibernation_torpor,diet,diet_breadth_n,diet_carnivore,diet_herbivore,diet_invertivore,diet_infloresence,diet_omnivore,diet_granivore,litter_size_n,litters_per_year_n
13131,Crinia parinsignifera,Crinia parinsignifera,Crinia,Plains Froglet,Amphibians,NotListed,NotListed,0.66,,,,0,0,1,0,1,0,1,1,,0,0,1,0,0,0,,,,0,1,1,0,0,0,130,1
13134,Crinia signifera,Crinia signifera,Crinia,Common Froglet,Amphibians,NotListed,NotListed,1.9,,,,0,0,1,0,1,0,1,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,215,1
13135,Crinia sloanei,Crinia sloanei,Crinia,Sloane's Froglet,Amphibians,Australia,Endangered,0.47,,,,0,0,1,0,1,0,0,1,,0,0,1,0,0,0,,,,0,1,1,0,0,0,200,1
13029,Geocrinia laevis,Geocrinia laevis,Geocrinia,Southern Smooth Froglet,Amphibians,NotListed,NotListed,0.92,,,,0,0,1,0,1,0,0,1,,0,0,1,0,0,0,,,,0,1,1,0,0,0,180,1
13033,Geocrinia victoriana,Geocrinia victoriana,Geocrinia,Victorian Smooth Froglet,Amphibians,NotListed,NotListed,1.57,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,200,1
13042,Heleioporus australiacus,Heleioporus australiacus,Heleioporus,Giant Burrowing Frog,Amphibians,Victoria,Critically Endangered,56.59,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,1239,1
13058,Limnodynastes dumerilii,Limnodynastes dumerilii,Limnodynastes,Southern Bullfrog (ssp. unknown),Amphibians,NotListed,NotListed,15.31,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,3900,1
63913,Limnodynastes dumerilii dumerilii,Limnodynastes dumerilii,Limnodynastes,Pobblebonk Frog,Amphibians,NotListed,NotListed,15.31,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,3900,1
63914,Limnodynastes dumerilii insularis,Limnodynastes dumerilii,Limnodynastes,Pobblebonk Frog,Amphibians,NotListed,NotListed,15.31,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,3900,1
63915,Limnodynastes dumerilii variegatus,Limnodynastes dumerilii,Limnodynastes,Pobblebonk Frog,Amphibians,NotListed,NotListed,15.31,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,3900,1
13060,Limnodynastes interioris,Limnodynastes interioris,Limnodynastes,Giant Bullfrog,Amphibians,Victoria,Endangered,36.45,,,,0,0,1,0,1,0,0,1,,1,0,1,0,0,0,,,,0,1,1,0,0,0,1100,1
13061,Limnodynastes peronii,Limnodynastes peronii,Limnodynastes,Striped Marsh Frog,Amphibians,NotListed,NotListed,12.17,,,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,,,,0,1,1,0,0,0,1300,1
13063,Limnodynastes tasmaniensis,Limnodynastes tasmaniensis,Limnodynastes,Spotted Marsh Frog (race unknown),Amphibians,NotListed,NotListed,3.37,,,,0,0,1,0,1,0,1,1,,0,0,1,0,0,0,,,,0,1,1,0,0,0,1500,1
13166,Litoria aurea,Litoria aurea,Litoria,Green and Golden Bell Frog,Amphibians,NotListed,NotListed,50,,,,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,,,,1,1,1,0,0,0,5000,1
