dominant_pyrome,pyrome_breadth,TAXON_ID,dominant_pyrome_name,Sci_Name,COMMON_NAME,TaxaGroup,TAXON_TYPE,Extinction_Risk,FFG_Status,Sci_Name_Alt
4,4,11028,Wet Temperate Forest,Antechinus agilis,Agile Antechinus,Mammals,Mammals,NotListed,NotListed,Antechinus agilis
4,2,12992,Wet Temperate Forest,Pseudemoia cryodroma,Alpine Bog Skink,Reptiles,Reptiles,Australia,Endangered,Pseudemoia cryodroma
4,1,12987,Wet Temperate Forest,Cyclodomorphus praealtus,Alpine She-oak Skink,Reptiles,Reptiles,Victoria,Critically Endangered,Cyclodomorphus praealtus
4,1,63907,Wet Temperate Forest,Litoria verreauxii alpina,Alpine Tree Frog,Amphibians,Amphibians,Victoria,Critically Endangered,Litoria verreauxii
4,1,12550,Wet Temperate Forest,Eulamprus kosciuskoi,Alpine Water Skink,Reptiles,Reptiles,Victoria,Endangered,Eulamprus kosciuskoi
14,6,10675,Dry Cropping Zone,Struthidea cinerea,Apostlebird,Birds,Passerine birds,Victoria,Vulnerable,Struthidea cinerea
1,7,10197,Dry Temperate Forest,Botaurus poiciloptilus,Australasian Bittern,Birds,Other Non-passerine birds,Victoria,Critically Endangered,Botaurus poiciloptilus
1,7,10061,Dry Temperate Forest,Tachybaptus novaehollandiae,Australasian Grebe,Birds,Other Non-passerine birds,NotListed,NotListed,Tachybaptus novaehollandiae
1,8,10647,Dry Temperate Forest,Anthus novaeseelandiae,Australasian Pipit,Birds,Passerine birds,NotListed,NotListed,Anthus novaeseelandiae
1,8,10212,Dry Temperate Forest,Spatula rhynchotis,Australasian Shoveler,Birds,Other Non-passerine birds,Victoria,Vulnerable,Spatula rhynchotis
1,6,10176,Dry Temperate Forest,Ardeotis australis,Australian Bustard,Birds,Other Non-passerine birds,Victoria,Critically Endangered,Ardeotis australis
1,8,10235,Dry Temperate Forest,Falco longipennis,Australian Hobby,Birds,Other Non-passerine birds,NotListed,NotListed,Falco longipennis
4,5,10281,Wet Temperate Forest,Alisterus scapularis,Australian King-Parrot,Birds,Other Non-passerine birds,NotListed,NotListed,Alisterus scapularis
1,8,10705,Dry Temperate Forest,Cracticus tibicen,Australian Magpie,Birds,Passerine birds,NotListed,NotListed,Gymnorhina tibicen
1,8,10317,Dry Temperate Forest,Aegotheles cristatus,Australian Owlet-nightjar,Birds,Other Non-passerine birds,NotListed,NotListed,Aegotheles cristatus
3,5,10170,Temperate Cropping Zone,Rostratula australis,Australian Painted Snipe,Birds,Other Non-passerine birds,Victoria,Critically Endangered,Rostratula australis
3,8,10106,Temperate Cropping Zone,Pelecanus conspicillatus,Australian Pelican,Birds,Other Non-passerine birds,NotListed,NotListed,Pelecanus conspicillatus
14,7,10173,Dry Cropping Zone,Stiltia isabella,Australian Pratincole,Birds,Other Non-passerine birds,NotListed,NotListed,Stiltia isabella
1,8,10930,Dry Temperate Forest,Corvus coronoides,Australian Raven,Birds,Passerine birds,NotListed,NotListed,Corvus coronoides
3,8,10207,Temperate Cropping Zone,Tadorna tadornoides,Australian Shelduck,Birds,Other Non-passerine birds,NotListed,NotListed,Tadorna tadornoides
3,8,10049,Temperate Cropping Zone,Porzana fluminea,Australian Spotted Crake,Birds,Other Non-passerine birds,NotListed,NotListed,Porzana fluminea
