Species,Order,Suborder,Family,Genus,Description author/s,Description year,Subspecies,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Mean Annual Temperature (°C),Temperature Seasonality (standard deviation*100),Seasonality Precipitation (coefficient of variation × 100),Insular/endemic (yes or no),Venomous (yes or no),Diet,Diet: comments,Active time,Dorsal colour,Dorsal pattern,Foraging mode,Pupil Shape,Fangs,Maximum Longevity (years),Maximum body mass (g),"Maximum total length (""TL"", mm)","Maximum length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Sex-determining mechanism (GSD or TSD),Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb,Genetic data (yes or not),IUCN redlist assessment,IUCN population trend
Ablepharus alaicus,Squamata,Sauria,Scincidae,Ablepharus,Elpatjevsky,1901,"Ablepharus alaicus kucenkoi NIKOLSKY 1902
Ablepharus alaicus alaicus ELPATJEVSKY 1901
Ablepharus alaicus yakovlevae (EREMCHENKO 1983)",Saharo-Sindian,Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"Arthropods (""insects (beetles, flies,AndAnts)And spiders."" Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,65,NA,NA,22.1,NA,viviparous,NA,NA,2,7,NA,No,No,NA,NA,NA,Yes,NA,NA
Ablepharus anatolicus,Squamata,Sauria,Scincidae,Ablepharus,Schmidtler,1997,No,Saharo-Sindian,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus bivittatus,Squamata,Sauria,Scincidae,Ablepharus,Menetries,1832,No,Saharo-Sindian,Saxicolous,Forest/Grassland/Shrubland,600,2900,13.79,8900.4,26.218045,No,No,Carnivorous,"Invertebrates (""Food consists mainly of insects (beetles, hymenopterans,And cicadas), spiders,And snails"", Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,4.3651583220000001,NA,61,56.5,NA,18.5,NA,oviparous,NA,4,2,5,NA,NA,NA,NA,NA,NA,No,Least Concern,Decreasing
Ablepharus budaki,Squamata,Sauria,Scincidae,Ablepharus,"Göcmen, Kumlutas & Tosunoglu",1996,No,Saharo-Sindian,Terrestrial,Forest/Shrubland,0,1700,NA,NA,20.610880999999999,No,No,Carnivorous,Invertebrates,Diurnal,NA,NA,NA,NA,non-fanged,NA,2.0124632366227755,NA,48,36.799999999999997,NA,NA,NA,oviparous,NA,3.5,2,5,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Ablepharus chernovi,Squamata,Sauria,Scincidae,Ablepharus,Darevsky,1953,"Ablepharus chernovi chernovi DAREVSKY 1953
Ablepharus chernovi eiselti SCHMIDTLER 1997
Ablepharus chernovi isauriensis SCHMIDTLER 1997
Ablepharus chernovi ressli SCHMIDTLER 1997",Saharo-Sindian,Saxicolous,Forest/Grassland/Shrubland,150,1700,NA,NA,16.744423000000001,No,No,Carnivorous,"Arthropods (""ants, flies,Aphids, small beetles,And spiders."", Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,2.9512092270000001,NA,54,44.4,NA,NA,NA,oviparous,NA,3.5,3,4,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Ablepharus darvazi,Squamata,Sauria,Scincidae,Ablepharus,Eremchenko & Panfilov,1990,No,Saharo-Sindian,NA,Forest/Shrubland,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,1.5195279483489117,NA,44,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Ablepharus deserti,Squamata,Sauria,Scincidae,Ablepharus,Strauch,1868,No,Saharo-Sindian,Terrestrial,Desert/Forest/Shrubland/Wetlands,40,3000,8.52,9932.6,21.804300999999999,No,No,Carnivorous,"Arthropods (""beetles, caterpillars,And cicadas)And spiders"" Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,3.89045145,NA,58.8,46,NA,17.5,NA,oviparous,NA,4.5,1,8,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Ablepharus eremchenkoi,Squamata,Sauria,Scincidae,Ablepharus,Panfilov,1999,No,Saharo-Sindian,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,NA,NA,59.8,50,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Ablepharus grayanus,Squamata,Sauria,Scincidae,Ablepharus,Stoliczka,1872,No,Saharo-Sindian,Terrestrial,Desert/Grassland/Rocky/Wetlands,222,2710,NA,NA,44.079571999999999,No,No,Carnivorous,Insects (MostlyAnts),Diurnal,NA,NA,NA,NA,non-fanged,NA,0.72443595999999999,NA,34.9,NA,NA,14.5,NA,oviparous,NA,1.5,1,2,NA,NA,NA,NA,NA,NA,No,NA,NA
Ablepharus himalayanus,Squamata,Sauria,Scincidae,Ablepharus,Günther,1864,No,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,No,No,Carnivorous,"Arthropods (SchleichAnd Kastle 2002, Kastle etAl. 2013)",Diurnal,NA,NA,NA,NA,non-fanged,NA,1.19,NA,70.5,61.8,NA,NA,NA,ovoviviparous,NA,3,1,4,NA,NA,NA,27.5,NA,NA,No,NA,NA
