id,Taxon_ID,Scientific_Name,Scientific_Name_Alt,Genus,Common_Name,stratum,stratum_water,stratum_fossorial,stratum_generalist,stratum_saxicolous,stratum_grass_hummock,stratum_arboreal,stratum_CWD,diet,diet_breadth_n,diet_carnivore,diet_herbivore,diet_invertivore,diet_infloresence,diet_omnivore,diet_granivore
1,12375,Ctenotus robustus,Ctenotus spaldingi,Ctenotus,Large Striped Skink,,0,1,0,1,0,0,0,Omnivore,,1,0,1,1,0,0
2,12936,Ctenotus orientalis,Ctenotus orientalis,Ctenotus,Eastern Striped Skink,,0,1,1,0,0,0,0,Omnivore,,0,0,1,1,0,0
3,12386,Ctenotus taeniolatus,Ctenotus taeniolatus,Ctenotus,Copper-tailed Skink,,0,1,0,1,0,0,0,Carnivore,,1,0,1,0,0,0
4,12374,Ctenotus regius,Ctenotus regius,Ctenotus,Regal Striped Skink,,0,1,0,0,1,0,0,Omnivore,,0,0,1,1,0,0
5,12342,Ctenotus brachyonyx,Ctenotus inornatus,Ctenotus,Murray Striped Skink,,0,1,0,0,1,0,0,Invertivore,,0,0,1,0,0,0
6,62933,Ctenotus taeniatus,Ctenotus taeniatus,Ctenotus,Brooks's Striped Skink,,0,1,0,1,1,0,0,Invertivore,,0,0,1,0,0,0
7,12994,Pseudemoia entrecasteauxii,Pseudemoia entrecasteauxii,Pseudemoia,Southern Grass Skink,,0,0,1,1,0,0,1,Invertivore,,0,0,1,0,0,0
8,12541,Pseudemoia spenceri,Pseudemoia spenceri,Pseudemoia,Spencer's Skink,,0,0,0,0,0,1,1,Omnivore,,0,0,1,1,0,0
9,12948,Pseudemoia pagenstecheri,Pseudemoia cryodoma,Pseudemoia,Grass skink FORM (P.pag/cry),,0,0,0,0,1,0,1,Invertivore,,0,0,1,0,0,0
10,62956,Eulamprus tympanum tympanum,Eulamprus tympanum,Eulamprus,Southern Water Skink,,1,0,1,0,0,0,1,Carnivore,,1,0,1,0,0,0
11,12957,Eulamprus heatwolei,Eulamprus heatwolei,Eulamprus,Yellow-bellied Water Skink,,1,0,1,0,0,0,1,Carnivore,,1,0,1,0,0,0
12,12557,Eulamprus quoyii,Eulamprus quoyii,Eulamprus,Eastern Water Skink,,1,1,0,0,0,0,0,Carnivore,,1,0,1,0,0,0
13,12580,Tiliqua scincoides,Tiliqua scincoides,Tiliqua,Common Blue-tongued Lizard,,0,0,1,0,0,0,1,Omnivore,,1,0,1,1,1,0
14,12578,Tiliqua nigrolutea,Tiliqua nigrolutea,Tiliqua,Blotched Blue-tongued Lizard,,0,1,1,0,0,0,1,Omnivore,,1,0,1,1,1,0
15,62430,Liopholis whitii GROUP,Liopholis whitii,Liopholis,White's Skink,,0,1,1,1,0,0,0,Omnivore,,0,0,1,0,1,0
16,12583,Tiliqua rugosa,Tiliqua rugosa,Tiliqua,Stumpy-tailed Lizard,,0,1,0,0,0,0,1,Omnivore,,1,0,1,1,1,0
17,12160,Delma inornata,Delma inornata,Delma,Olive Legless Lizard,,0,0,1,1,0,0,1,Invertivore,,0,0,1,0,0,0
18,12588,Ramphotyphlops bituberculatus,Anilios bituberculatus,Ramphotyphlops,Peters's Blind Snake,,0,1,0,0,0,0,0,Invertivore,,0,0,1,0,0,0
19,12724,Parasuta nigriceps,Suta nigriceps,Parasuta,Mitchell's Short-tailed Snake,,0,1,0,1,0,0,0,Carnivore,,1,0,0,0,0,0
20,12727,Parasuta flagellum,Suta flagellum,Parasuta,Little Whip Snake,,0,1,0,1,0,0,0,Carnivore,,1,0,0,0,0,0
21,12154,Delma australis,Delma australis,Delma,Southern Legless Lizard,,0,1,0,0,1,0,0,Invertivore,,0,0,1,0,0,0
22,12586,Ramphotyphlops bicolor,Anilios bicolor,Ramphotyphlops,West Australian Dark-spined Blind Snake,,0,1,0,0,0,0,0,Invertivore,,0,0,1,0,0,0
23,12167,Delma butleri,Delma butleri,Delma,Butler's Legless Lizard,,0,0,0,0,1,0,0,Invertivore,,0,0,1,0,0,0
24,12143,Aprasia inaurita,Aprasia inaurita,Aprasia,Pink-nosed Worm-Lizard,,0,1,0,0,0,0,0,Invertivore,,0,0,1,0,0,0
25,12413,Liopholis inornata,Liopholis inornata,Liopholis,Desert Skink,,0,1,0,0,1,0,0,Omnivore,,1,0,1,0,1,0
26,12599,Ramphotyphlops nigrescens,Anilios nigrescens,Ramphotyphlops,Gray's Blind Snake,,0,1,0,1,0,0,0,Invertivore,,0,0,1,0,0,0
27,12726,Parasuta dwyeri,Suta dwyeri,Parasuta,Dwyer's Snake,,0,1,0,1,0,0,0,Carnivore,,1,0,0,0,0,0
28,12433,Liopholis montana,Liopholis montana,Liopholis,Mountain Skink,,0,1,0,0,0,0,0,Omnivore,,0,0,1,0,1,0
29,12579,Tiliqua occipitalis,Tiliqua occipitalis,Tiliqua,Western Blue-tongued Lizard,,0,0,0,0,1,0,0,Omnivore,,1,0,1,1,1,0
30,12603,Ramphotyphlops proximus,Anilios proximus,Ramphotyphlops,Woodland Blind Snake,,0,1,0,0,0,0,0,Invertivore,,0,0,1,0,0,0
  ,12993,Pseudemoia pagenstecheri (Volcanic Plains),Pseudemoia pagenstecheri,Pseudemoia,Tussock Skink,,0,0,0,0,1,0,0,Invertivore,,0,0,1,0,0,0
32,12683,Pseudemoia rawlinsoni,Pseudemoia rawlinsoni,Pseudemoia,Glossy Grass Skink,,0,0,0,0,0,0,1,Invertivore,,0,0,1,0,0,0
33,19008,Ctenotus olympicus,Ctenotus olympicus,Ctenotus,Saltbush Striped Skink,,0,1,0,1,0,0,0,Invertivore,,0,0,1,0,0,0
34,12475,Lerista bougainvillii,Lerista bougainvillii,Lerista,Bougainville's Skink,,0,1,0,1,0,0,0,Invertivore,,0,0,1,0,0,0
35,62938,Egernia saxatilis intermedia,Egernia saxatilis,Egernia,Black Rock Skink,,0,0,0,1,0,1,1,Omnivore,,1,0,1,0,1,0
36,12526,Morethia boulengeri,Morethia boulengeri,Morethia,Boulenger's Skink,,0,1,0,0,0,0,1,Invertivore,,0,0,1,0,0,0
37,12194,Amphibolurus muricatus,Amphibolurus muricatus,Amphibolurus,Tree Dragon,,0,1,0,0,0,1,1,Carnivore,,1,0,1,0,0,0
38,12077,Diplodactylus vittatus,Diplodactylus vittatus,Diplodactylus,Wood Gecko,,0,1,0,1,1,0,1,Invertivore,,0,0,1,0,0,0
39,12283,Varanus varius,Varanus varius,Varanus,Lace Monitor,,0,1,0,0,0,1,1,Carnivore,,1,0,0,0,0,0
40,12182,Rankinia diemensis,Rankinia diemensis,Rankinia,Mountain Dragon,,0,1,1,0,0,0,0,Invertivore,,0,0,1,0,0,0
41,12271,Varanus gouldii,Varanus gouldii,Varanus,Sand Goanna,,0,1,0,0,0,0,1,Carnivore,,1,0,1,0,0,0
42,12408,Egernia cunninghami,Egernia cunninghami,Egernia,Cunningham's Skink,,0,0,0,1,0,0,0,Omnivore,,1,0,1,0,1,0
43,12529,Morethia obscura,Morethia obscura,Morethia,Obscure Skink,,0,1,0,0,1,0,1,Invertivore,,0,0,1,0,0,0
44,12109,Diplodactylus damaeus,Lucasium damaeum,Diplodactylus,Beaded Gecko,,0,1,0,0,0,0,0,Invertivore,,0,0,1,0,0,0
45,19000,Amphibolurus nobbi,Diporiphora nobbi,Amphibolurus,Nobbi Dragon,,0,0,0,0,0,1,1,Invertivore,,0,0,1,0,0,0
