"TaxonCode","ScientificName","CommonName","LifeForm","HabitatVicForest","Broad_habitat","OpenCountryTolernat_Jradford","FeedGuild","Diet_viaHlada_simplifiedARI_ReadersDigest","NestGuildVicForest","HollowDep","Status","Migration","TaxonGroup","Weight_mean.g","BroodSize_mean","Egg_mass_Lislevand_g","Mating_System_Lislevand","genus"
10264,"Calyptorhynchus banksii graptogyne","Red-tailed Black-Cockatoo","Non-passerine Birds","F","F","F","ST","G","LH",1,0,"N","Cockies",720,1.5,33.5,2,"Calyptorhynchus"
10265,"Calyptorhynchus lathami lathami","Glossy Black-Cockatoo","Non-passerine Birds","F","F","F","ST","G","LH",1,0,"N","Cockies",420,1,25.5,2,"Calyptorhynchus"
10267,"Calyptorhynchus funereus","Yellow-tailed Black-Cockatoo","Non-passerine Birds","F","F","T","ST","G","LH",1,0,"N","Cockies",755,2,33.8,2,"Calyptorhynchus"
10268,"Callocephalon fimbriatum","Gang-gang Cockatoo","Non-passerine Birds","F","F","F","ST","G","LH",1,0,"N","Cockies",250,2,11.8,2,"Callocephalon"
10269,"Cacatua galerita","Sulphur-crested Cockatoo","Non-passerine Birds","O","O","T","SG","G","LH",1,0,"N","Cockies",895,2.5,28,2,"Cacatua"
10270,"Lophocroa leadbeateri","Major Mitchell's Cockatoo","Non-passerine Birds","F","O","T","SG","G","LH",1,0,"N","Cockies",370,2.5,28,2,"Lophocroa"
10271,"Cacatua sanguinea","Little Corella","Non-passerine Birds","O","O","O","SG","G","LH",1,0,"N","Cockies",537.5,2.5,17.1,2,"Cacatua"
10272,"Cacatua tenuirostris","Long-billed Corella","Non-passerine Birds","O","O","O","SG","G","LH",1,0,"N","Cockies",565,3,17.7,2,"Cacatua"
10273,"Eolophus roseicapilla","Galah","Non-passerine Birds","O","O","O","SG","G","LH",1,0,"N","Cockies",330,4,14.4,2,"Eolophus"
75132,"Cacatua spp.","Corella","Non-passerine Birds","F","F","F","SG","G","LH",0,0,"N","Cockies",580.65,2.6,20.6,2,"Cacatua"
10578,"Melithreptus lunatus","White-naped Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"C","Honeyeater",14,2.5,1.9,2,"Melithreptus"
10580,"Melithripterus gularis gularis","Black-chinned Honeyeater","Passerine Birds","F","F","F","N","I","V",0,0,"N","Honeyeater",20,2,1.77,2,"Melithripterus"
10583,"Melithreptus brevirostris","Brown-headed Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",14,2.5,1.51,2,"Melithreptus"
10585,"Plectorhyncha lanceolata","Striped Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",40,3,3.62,2,"Plectorhyncha"
10586,"Myzomela sanguinolenta","Scarlet Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"SP","Honeyeater",8,2,1.15,2,"Myzomela"
10589,"Sugamel niger","Black Honeyeater","Passerine Birds","F","S","T","N","N","V",0,0,"E","Honeyeater",9,2,1.11,2,"Sugamel"
10593,"Phylidonyris melanops","Tawny-crowned Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",18,2.5,2.64,2,"Phylidonyris"
10594,"Phylidonyris albifrons","White-fronted Honeyeater","Passerine Birds","F","S","F","N","N","V",0,0,"N","Honeyeater",17,2,2.31,2,"Phylidonyris"
10598,"Grantiella picta","Painted Honeyeater","Passerine Birds","F","F","F","N","F","V",0,0,"S","Honeyeater",22,2,2.18,2,"Grantiella"
10603,"Anthochaera phrygia","Regent Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"C","Honeyeater",42,2.5,3.93,2,"Anthochaera"
10605,"Meliphaga lewinii","Lewins Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",34,2.5,4.22,2,"Meliphaga"
10608,"Lichenostomus virescens","Singing Honeyeater","Passerine Birds","O","S","F","N","N","V",0,0,"N","Honeyeater",27.5,2,2.63365384615385,2,"Lichenostomus"
10613,"Lichenostomus fuscus","Fuscous Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"C","Honeyeater",16,2,2.63365384615385,2,"Lichenostomus"
10614,"Lichenostomus chrysops","Yellow-faced Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"SP","Honeyeater",17,2.5,2.38,2,"Lichenostomus"
10617,"Lichenostomus leucotis","White-eared Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"C","Honeyeater",22.5,2,2.63365384615385,2,"Lichenostomus"
10619,"Lichenostomus melanops","Yellow-tufted Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",29,2,2.63365384615385,2,"Lichenostomus"
10620,"Lichenostomus cratitius","Purple-gaped Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",20.5,2,2.63365384615385,2,"Lichenostomus"
10622,"Lichenostomus ornatus","Yellow-plumed Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",17,2,2.63365384615385,2,"Lichenostomus"
10623,"Lichenostomus plumulus","Grey-fronted Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"C","Honeyeater",17,2.5,2.63365384615385,2,"Lichenostomus"
10625,"Lichenostomus penicillatus","White-plumed Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",19,2,2.45,2,"Lichenostomus"
10630,"Phylidonyris pyrrhoptera","Crescent Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"C","Honeyeater",16,2,2,2,"Phylidonyris"
10631,"Phylidonyris novaehollandiae","New Holland Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",20,2,2.56,2,"Phylidonyris"
10640,"Acanthagenys rufogularis","Spiny-cheeked Honeyeater","Passerine Birds","F","S","F","N","F","V",0,0,"C","Honeyeater",50,2.5,5.45,2,"Acanthagenys"
10641,"Entomyzon cyanotis","Blue-faced Honeyeater","Passerine Birds","F","F","F","N","N","V",0,0,"N","Honeyeater",105,2.5,7.9,2,"Entomyzon"
10579,"Melithreptus albogularis","White-throated Honeyeater","AVES","F","F","F","N","I","V",0,0,"N","Honeyeater",11.05,2,1.77,2,"Melithreptus"
10582,"Melithreptus validirostris","Strong-billed Honeyeater","AVES","F","F","F","N","I","V",0,0,"N","Honeyeater",24.85,3,3.01,2,"Melithreptus"
