"TaxonCode","CommonName","Scientific","TaxonGroup","MaleMassMin","MaleMassMax","FemaleMassMin","FemaleMassMax","Diet","nesting.code","msm","litter.size","Mlong","Flong"
11097,"Long-nosed Bandicoot","Perameles nasuta","Bandicoot",850,1100,850,1100,"O","G",4,2.5,36,36
61092,"Southern Brown Bandicoot","Isoodon obesulus obesulus","Bandicoot",500,1600,400,1100,"O","G",7,4,42,42
11008,"Spot-tailed Quoll","Dasyurus maculatus maculatus","Dasyurids",3500,7000,2000,4000,"C","G",12,5,48,48
11017,"Brush-tailed Phascogale","Phascogale tapoatafa tapoatafa","Dasyurids",175,311,106,212,"I","G",10.375,7,12,36
11027,"Yellow-footed Antechinus","Antechinus flavipes","Dasyurids",26,79,21,52,"O","H",11,12,12,24
11028,"Agile Antechinus","Antechinus agilis","Dasyurids",20,40,16,25,"I","N",10.375,8,19.5714285714286,28.5714285714286
11674,"Brown Antechinus","Antechinus stuartii","Dasyurids",383.35,778.2,223.3,451.5,"I","G",10.375,7.62727272727273,19.5714285714286,28.5714285714286
61181,"Brush-tailed Bettong (eastern subspecies)","Bettongia penicillata penicillata","Dasyurids",383.35,778.2,223.3,451.5,"I","G",10.375,7.62727272727273,19.5714285714286,28.5714285714286
11766,"Brush-tailed Bettong","Bettongia penicillata ogilbyi","Dasyurids",383.35,778.2,223.3,451.5,"I","G",10.375,7.62727272727273,19.5714285714286,28.5714285714286
11033,"Dusky Antechinus","Antechinus swainsonii","Dasyurids",43,175,37,100,"I","G",10.375,8,19.5714285714286,28.5714285714286
11034,"Swamp Antechinus","Antechinus minimus maritimus","Dasyurids",30,103,24,65,"I","G",11,7,12,36
11396,"Cape York Rat","Rattus leucopus","Dasyurids",383.35,778.2,223.3,451.5,"I","G",10.375,7.62727272727273,19.5714285714286,28.5714285714286
11365,"Central-eastern Broad-nosed Bat","Scotorepens sp 1","Dasyurids",383.35,778.2,223.3,451.5,"I","G",10.375,7.62727272727273,19.5714285714286,28.5714285714286
11050,"Giles Planigale","Planigale gilesi","Dasyurids",9.5,16,5,9,"I","G",12,7,24,24
11055,"Mallee Ningaui","Ningaui yvonneae","Dasyurids",4,10,4,10,"I","G",8,6.5,14,14
61341,"Common Bent-wing Bat","Miniopterus schreibersii GROUP","Dasyurids",383.35,778.2,223.3,451.5,"I","G",10.375,7.62727272727273,19.5714285714286,28.5714285714286
11061,"Common Dunnart","Sminthopsis murina murina","Dasyurids",16,28,10,22,"I","G",12,9,19.5714285714286,28.5714285714286
11069,"White-footed Dunnart","Sminthopsis leucopus","Dasyurids",383.35,778.2,223.3,451.5,"C","H",12,9,19.5714285714286,28.5714285714286
11072,"Fat-tailed Dunnart","Sminthopsis crassicaudata","Dasyurids",10,20,10,20,"I","G",5,5.4,15,18
61835,"Dingo","Canis lupus dingo","Dog",9600,24000,9600,24000,"C","G",12,5.5,120,120
11280,"Grey-headed Flying-fox","Pteropus poliocephalus","flying fox",410,1270,410,1270,"INF","V",24,1,216,216
11281,"Little Red Flying-fox","Pteropus scapulatus","flying fox",258,500,258,500,"INF","V",24,1,216,216
11282,"Black Flying-fox","Pteropus alecto","flying fox",590,880,590,880,"INF","V",24,1,216,216
11133,"Greater Glider","Petauroides volans","gliders",900,1700,900,1700,"H","H",24,1,78,78
11329,"Eastern Freetail-bat","Mormopterus norfolkensis","gliders",333,575,329,570,"INF","H",14.8,1.6,78,78
11136,"Yellow-bellied Glider","Petaurus australis","gliders",450,700,450,700,"INF","H",24,1,72,72
11137,"Squirrel Glider","Petaurus norfolcensis","gliders",190,300,190,300,"INF","H",12,1.5,72,72
11138,"Sugar Glider","Petaurus breviceps","gliders",115,160,95,135,"INF","H",8,2,108,108
11147,"Feathertail Glider","Acrobates pygmaeus","gliders",10,15,10,15,"INF","H",6,2.5,60,60
11162,"Koala","Phascolarctos cinereus","koala",9500,14900,7000,11000,"H","P",24,1,180,216
11175,"Long-nosed Potoroo","Potorous tridactylus tridactylus","macropods",740,1640,660,1350,"O","G",12,1,84,84
11179,"Long-footed Potoroo","Potorous longipes","macropods",2000,2200,1600,1800,"O","G",24,1,150,150
11201,"Bridled Nailtail Wallaby","Onychogalea fraenata","macropods",5000,8000,4000,6000,"H","G",4.5,1,72,181.5
11215,"Brush-tailed Rock-wallaby","Petrogale penicillata","macropods",5500,10900,4900,8200,"H","G",18,1,173,181.5
11242,"Black Wallaby","Wallabia bicolor","macropods",12300,20500,10300,15400,"H","G",15,1,173,181.5
11261,"Red-necked Wallaby","Macropus rufogriseus","macropods",15000,23700,12000,15500,"H","G",14,1,216,216
11353,"Large-eared Pied Bat","Chalinolobus dwyeri","macropods",6556.625,20558.5,5498.325,11082,"H","G",15.45,1,173,181.5
11263,"Western Grey Kangaroo","Macropus fuliginosus","macropods",3000,53500,4500,27500,"H","G",17,1,240,181.5
11265,"Eastern Grey Kangaroo","Macropus giganteus","macropods",19,85,17,42,"H","G",20,1,173,181.5
11346,"Little Bentwing-bat","Miniopterus australis","macropods",6556.625,20558.5,5498.325,11082,"H","G",15.45,1,173,181.5
11362,"Little Broad-nosed Bat","Scotorepens greyii","macropods",6556.625,20558.5,5498.325,11082,"H","G",15.45,1,173,181.5
11275,"Red Kangaroo","Macropus rufus","macropods",22000,85000,17000,35000,"H","G",6,1,276,276
