"TaxonCode","Name","Sc_Name","FFG_Act_Listed","FFG_ADV","EPBC","MaleHomerange_aver","MaleHomerange_min","MaleHomerange_max","FemaleHomerange_aver","FemaleHomerange_min","FemaleHomerange_max","MaleDispersal_distance_aver","MaleDispersal_distance_min","MaleDispersal_distance_max","FemaleDispersal_distance_aver","FemaleDispersal_distance_min","FemaleDispersal_distance_max","critical_habitat_elements","BothBody_size_min","BothBody_size_max","MaleBody_size_min","MaleBody_size_max","FemaleBody_Size_min","FemaleBody_size_max","MaleBody_Wt","MaleBody_Wt_min","MaleBody_wt_max","FemaleBody_Wt","FemaleBody_Wt_min","FemaleBody_wt_max","BothBody_Wt_min","BothBody_wt_max","MaleLongevity_min","MaleLongevity_max","FemaleLongevity_min","FemaleLongevity_max","BothLongevity_min","BothLongevity_max","MaleSexual_maturity_min","MaleSexual_maturity_max","FemaleSexual_maturity_min","FemaleSexual_maturity_max","PopulationgrowthrateMin_Level","Max_Level","GenerationtimeMin_Level","GenTime_Max_Level","AdultTrend","AdultDiet","TaxonGroup"
12194,"Tree Dragon","Amphibolurus muricatus","U","","",0.2,0.05,0.5,0.2,0.05,0.5,0.2,0.05,0.5,0.2,0.05,0.5,"CWD/logs/litter",70,120,136.266666666667,190.666666666667,135.533333333333,186.8,134.14375,117.258823529412,219,134.15625,105.505882352941,187.535294117647,20,30,77.5384615384615,108,77.5384615384615,108,36,120,24,36,24,36,3.04761904761905,9.52380952380952,3,12,0.595238095238095,"","Lizards"
18999,"Eastern Water Dragon","Physignathus lesueurii","U","","",1,0.5,4,1,0.5,4,0.1,0.05,1,0.1,0.05,1,"CWD",110.35,161.684210526316,210,304,160,220,134.14375,400,1000,134.15625,200,450,105.594444444444,179.616666666667,77.5384615384615,108,77.5384615384615,108,36,170,12,36,12,36,6,17,24,48,0.5,"Omnivore","Lizards"
12077,"Wood Gecko","Diplodactylus vittatus","U","","",0.02,0.01,0.04,0.02,0.01,0.04,0.07,0.03,0.1,0.07,0.03,0.1,"CWD/logs/litter",45,60,45,60,45,60,2.5,2.3,2.8,2.5,2.3,2.8,2.3,2.8,36,72,36,72,36,72,18,24,18,24,2,2,1,3,0.5,"Invertivore","Lizards"
12209,"Norris's Dragon","Amphibolurus norrisi","U","","",0.2,0.05,0.5,0.2,0.05,0.5,0.2,0.05,0.5,0.2,0.05,0.5,"Malleestems/CWD/",70,100,136.266666666667,190.666666666667,135.533333333333,186.8,134.14375,117.258823529412,219,134.15625,105.505882352941,187.535294117647,18,25,77.5384615384615,108,77.5384615384615,108,36,100,24,36,24,36,3,7,3,4,0.75,"","Lizards"
19009,"Nobbi Dragon","Amphibolurus nobbi nobbi (moved to Diporiphora nobbi 2011?)","U","","",0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,"Malleestems/CWD/",60,90,136.266666666667,190.666666666667,135.533333333333,186.8,15,12,18,15,12,23,105.594444444444,179.616666666667,77.5384615384615,108,77.5384615384615,108,36,100,24,36,24,36,4,9,3,4,0.5,"","Lizards"
62916,"Nobbi Dragon (NW)","Amphibolurus nobbi nobbi (NW) (moved to Diporiphora nobbi 2011?)","U","","",0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,"Malleestems/CWD/",60,90,136.266666666667,190.666666666667,135.533333333333,186.8,15,12,18,15,12,23,105.594444444444,179.616666666667,77.5384615384615,108,77.5384615384615,108,36,100,24,36,24,36,4,9,3,4,0.5,"","Lizards"
62917,"Nobbi Dragon","Amphibolurus nobbi coggeri (Moved to Diporiphora nobbi in 2011?)","U","DD","",0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,"Malleestems/CWD/",60,90,136.266666666667,190.666666666667,135.533333333333,186.8,15,12,18,15,12,23,105.594444444444,179.616666666667,77.5384615384615,108,77.5384615384615,108,36,100,24,36,24,36,4,9,3,4,0.5,"","Lizards"
12176,"Hooded Scaly-foot","Pygopus schraderi","L","CE","",0.1,0.05,0.3,0.1,0.05,0.3,0.1,0.05,0.3,0.1,0.05,0.3,"densegoundlayer",150,200,150,200,150,200,13,10,16,13,10,16,10,16,96,132,96,132,96,132,18,24,18,24,2,2,2,4,0.75,"Invertivore","Lizards"
62940,"Egernia NSW","Egernia saxatilis saxatilis nsw","U","","",0.05,0.02,0.07,0.05,0.02,0.07,0.05,0.03,0.1,0.05,0.03,0.1,"Rockoutcrops/largelogsorstags",95,125,95,125,95,125,48,40,55,48,40,55,40,55,72,96,72,96,72,96,18,24,18,24,1,4,1,3,0.5,"Invertivore","Lizards"
12144,"Pink-tailed Worm-Lizard","Aprasia parapulchella","L","E","VU",0.02,0.01,0.04,0.02,0.01,0.04,0.05,0.02,0.1,0.05,0.02,0.1,"Rockoutcrops/largelogsorstags",106,160,100,140,110,160,2,1,2.5,2,1,2.5,1,2.5,60,96,60,96,60,96,30,36,36,48,2,2,3,6,0.75,"Invertivore","Lizards"
12126,"Marbled Gecko","Christinus marmoratus","U","","",0.02,0.01,0.04,0.02,0.01,0.04,0.05,0.03,0.1,0.05,0.03,0.1,"LargeTrees",45,75,45,75,45,75,3.7,3,4,3.7,3,4,3,4,36,72,36,72,36,72,18,24,18,24,1,2,1,3,0.5,"Invertivore","Lizards"
12011,"Pacific (Olive) Ridley","Lepidochelys olivacea","U","","EN",0.926818181818182,0.517727272727273,1.86090909090909,0.926818181818182,0.517727272727273,1.95181818181818,0.314090909090909,0.131363636363636,0.786363636363636,0.314090909090909,0.131363636363636,0.786363636363636,"",110.35,161.684210526316,136.266666666667,190.666666666667,135.533333333333,186.8,134.14375,117.258823529412,219,134.15625,105.505882352941,187.535294117647,105.594444444444,179.616666666667,77.5384615384615,108,77.5384615384615,108,61.6363636363636,110.454545454545,23.0454545454545,33.5454545454545,23.3181818181818,34.0909090909091,3.04761904761905,9.52380952380952,3.31818181818182,6.36363636363636,0.595238095238095,"","Lizards"
12076,"Tessellated Gecko","Diplodactylus tessellatus","U","","",0.02,0.01,0.04,0.02,0.01,0.04,0.07,0.03,0.1,0.07,0.03,0.1,"",38,58,38,58,38,58,2.5,2.3,2.8,2.5,2.3,2.8,2.3,2.8,36,72,36,72,36,72,18,24,18,24,2,2,1,3,0.5,"Invertivore","Lizards"
12138,"Thick-tailed Gecko","Underwoodisaurus milii","U","","",0.02,0.01,0.05,0.02,0.01,0.05,0.07,0.03,0.1,0.07,0.03,0.1,"",70,90,70,90,70,90,10,7.5,12,10,7.5,12,7.5,12,36,72,36,72,36,72,24,48,24,48,2,6,2,4,0.5,"Invertivore","Lizards"
12174,"Common Scaly-foot","Pygopus lepidopodus","U","","",0.1,0.05,0.3,0.1,0.05,0.3,0.1,0.05,0.3,0.1,0.05,0.3,"",180,240,180,240,180,240,18,15,22,18,15,22,15,22,96,132,96,132,96,132,18,24,18,24,2,2,2,4,0.5,"Invertivore","Lizards"
12177,"Bearded Dragon","Pogona barbata","U","V","",0.3,0.1,1,0.3,0.1,2,0.1,0.05,1,0.1,0.05,1,"",110.35,161.684210526316,133,250,158,250,134.14375,117.258823529412,219,134.15625,105.505882352941,187.535294117647,150,250,77.5384615384615,108,77.5384615384615,108,60,150,24,36,24,36,6,35,3,4,0.75,"Omnivore","Lizards"
12204,"Central Bearded Dragon","Pogona vitticeps","U","","",0.3,0.1,1,0.3,0.1,2,0.1,0.05,1,0.1,0.05,1,"",110,250,136.266666666667,190.666666666667,135.533333333333,186.8,134.14375,117.258823529412,219,134.15625,105.505882352941,187.535294117647,150,250,77.5384615384615,108,77.5384615384615,108,60,150,24,36,24,36,11,35,3,4,0.75,"Omnivore","Lizards"
12578,"Blotched Blue-tongued Lizard","Tiliqua nigrolutea","U","","",4,2.5,7,4,2.5,7,1,0.5,2,1,0.5,2,"",220,300,220,300,220,300,450,350,550,450,350,550,350,550,120,144,120,144,120,144,36,48,36,48,2,15,3,5,0.5,"Omnivore","Lizards"
12579,"Western Blue-tongued Lizard","Tiliqua occipitalis","U","NT","",4,2.5,7,4,2.5,7,1,0.5,2,1,0.5,2,"",280,330,280,330,280,330,500,450,600,500,450,600,450,600,120,144,120,144,120,144,36,48,36,48,3,7,3,5,0.75,"Omnivore","Lizards"
12580,"Common Blue-tongued Lizard","Tiliqua scincoides","U","","",4,2.5,7,4,2.5,7,1,0.5,2,1,0.5,2,"",220,310,220,310,220,310,450,350,550,450,350,550,350,550,120,144,120,144,120,144,36,48,36,48,1,18,3,5,0.5,"Omnivore","Lizards"
