"taxon_name","Mass_g","activity_nocturnal","diet","diet_carnivore","diet_granivore","diet_herbivore","diet_inflorescence","diet_invertivore","diet_omnivore","dispersal_HWI","dominant_pyrome","litter_size_n","nest_branch","nest_burrow","nest_cave","nest_ground","nest_hollows","nesting","pyrome_breadth","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_terrestrial","max_longevity_d","activity_cathemeral","activity_crepuscular","activity_diurnal","dispersal_km","home_range_km2","litters_per_year_n","n_offspring_year","stratum_CWD","stratum_aquatic","stratum_fossorial","stratum_grass_hummock","stratum_saxicolous","hibernation_torpor","volant","COMMON_NAME","TaxaGroup","TAXON_ID","TAXON_TYPE"
"Acanthagenys rufogularis","47.8","0","omnivore","0","0","0","0","0","1","23.2","1",2.3,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.3,NA,"0","0",NA,"0","0","1","Spiny-cheeked Honeyeater","Birds",10640,"Passerine birds"
"Acanthiza apicalis","7.6","0","invertivore","0","0","0","0","1","0","14.2","14",NA,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","1","Inland Thornbill","Birds",10476,"Passerine birds"
"Acanthiza chrysorrhoa","9.3","0","invertivore","0","0","0","0","1","0","15.6","1",3.5,"1","0","0","0","0","branch","8","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3.5,NA,"0","0",NA,"0","0","1","Yellow-rumped Thornbill","Birds",10486,"Passerine birds"
"Acanthiza iredalei hedleyi","6","0","invertivore","0","0","0","0","1","0","15.3","1",3,"1","0","0","0","0","branch","6","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Slender-billed Thornbill","Birds",10482,"Passerine birds"
"Acanthiza lineata","6.9","0","invertivore","0","0","0","0","1","0","19.1","4",3,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Striated Thornbill","Birds",10470,"Passerine birds"
"Acanthiza nana","6.2","0","invertivore","0","0","0","0","1","0","17.8","1",3,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Yellow Thornbill","Birds",10471,"Passerine birds"
"Acanthiza pusilla","7.6","0","invertivore","0","0","0","0","1","0","14.6","1",2.7,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.7,NA,"0","0",NA,"0","0","1","Brown Thornbill","Birds",10475,"Passerine birds"
"Acanthiza reguloides","7.7","0","invertivore","0","0","0","0","1","0","14","1",3.7,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3.7,NA,"0","0",NA,"0","0","1","Buff-rumped Thornbill","Birds",10484,"Passerine birds"
"Acanthiza uropygialis","6.4","0","invertivore","0","0","0","0","1","0","15","3",3,"0","0","0","0","1","hollows","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Chestnut-rumped Thornbill","Birds",10481,"Passerine birds"
"Acanthorhynchus tenuirostris","10.4","0","inflorescence","0","0","0","1","0","0","20.6","4",2.1,"1","0","0","0","0","branch","7","insessorial","0","1","0",5110,NA,NA,NA,NA,NA,1,2.1,NA,"0","0",NA,"0","0","1","Eastern Spinebill","Birds",10591,"Passerine birds"
"Accipiter cirrhocephalus","165.7","0","carnivore","1","0","0","0","0","0","37.8","1",3.25,"1","0","0","0","0","branch","8","generalist","0","0","0",NA,NA,NA,NA,NA,NA,1,3.25,NA,"0","0",NA,"0","0","1","Collared Sparrowhawk","Birds",10222,"Other Non-passerine birds"
